date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-18,3.26,3.28,3.24,3.24,3.24,13252600.0,0.0,1.0
2018-07-17,3.26,3.29,3.24,3.27,3.27,14616200.0,0.0,1.0
2018-07-16,3.24,3.27,3.21,3.26,3.26,13838500.0,0.0,1.0
2018-07-13,3.26,3.28,3.24,3.24,3.24,15927501.0,0.0,1.0
2018-07-12,3.27,3.29,3.25,3.26,3.26,16745900.0,0.0,1.0
2018-07-11,3.25,3.28,3.23,3.27,3.27,19959000.0,0.0,1.0
2018-07-10,3.28,3.29,3.23,3.28,3.28,27461039.0,0.0,1.0
2018-07-09,3.24,3.28,3.2,3.28,3.28,27898300.0,0.0,1.0
2018-07-06,3.19,3.26,3.18,3.23,3.23,42046000.0,0.0,1.0
2018-07-05,3.09,3.16,3.08,3.16,3.16,27515500.0,0.0,1.0
2018-07-04,3.03,3.08,3.02,3.07,3.07,18840100.0,0.0,1.0
2018-07-03,3.05,3.05,3.02,3.02,3.02,21904400.0,0.0,1.0
2018-07-02,3.09,3.09,3.04,3.05,3.05,23516000.0,0.0,1.0
2018-06-29,3.08,3.11,3.08,3.08,3.08,37299700.0,0.0,1.0
2018-06-28,3.1,3.11,3.08,3.08,3.08,24175100.0,0.0,1.0
2018-06-27,3.11,3.12,3.1,3.1,3.1,23993200.0,0.0,1.0
2018-06-26,3.11,3.14,3.1,3.12,3.12,17217900.0,0.0,1.0
2018-06-25,3.11,3.12,3.1,3.11,3.11,24448500.0,0.0,1.0
2018-06-22,3.14,3.14,3.1,3.12,3.12,24295000.0,0.0,1.0
2018-06-21,3.18,3.18,3.16,3.16,3.16,15882400.0,0.0,1.0
2018-06-20,3.17,3.19,3.15,3.17,3.17,20205100.0,0.0,1.0
2018-06-19,3.19,3.23,3.18,3.18,3.18,36026200.0,0.0,1.0
2018-06-18,3.16,3.21,3.16,3.19,3.19,26223007.0,0.0,1.0
2018-06-14,3.21,3.24,3.16,3.19,3.19,44492400.0,0.0,1.0
2018-06-13,3.24,3.25,3.22,3.22,3.22,22372900.0,0.0,1.0
2018-06-12,3.23,3.28,3.22,3.24,3.24,25563300.0,0.0,1.0
2018-06-11,3.23,3.25,3.19,3.24,3.24,20046000.0,0.0,1.0
2018-06-08,3.25,3.26,3.21,3.23,3.23,29072200.0,0.0,1.0
2018-06-07,3.27,3.28,3.25,3.25,3.25,17893100.0,0.0,1.0
2018-06-06,3.29,3.3,3.26,3.27,3.27,22089500.0,0.0,1.0
2018-06-05,3.28,3.3,3.27,3.28,3.28,9812500.0,0.0,1.0
2018-06-04,3.26,3.28,3.26,3.27,3.27,12714000.0,0.0,1.0
2018-06-01,3.28,3.28,3.25,3.25,3.25,23184813.0,0.0,1.0
2018-05-31,3.3,3.3,3.28,3.28,3.28,26991800.0,0.0,1.0
2018-05-30,3.32,3.34,3.28,3.28,3.28,46239700.0,0.0,1.0
2018-05-28,3.34,3.35,3.33,3.33,3.33,17046700.0,0.0,1.0
2018-05-25,3.34,3.35,3.33,3.33,3.33,29887100.0,0.0,1.0
2018-05-24,3.34,3.34,3.32,3.34,3.34,18315923.0,0.0,1.0
2018-05-23,3.4,3.4,3.33,3.34,3.34,47810000.0,0.0,1.0
2018-05-22,3.4,3.4,3.39,3.4,3.4,16403000.0,0.0,1.0
2018-05-21,3.41,3.44,3.41,3.41,3.41,15742000.0,0.0,1.0
2018-05-18,3.44,3.44,3.41,3.41,3.41,16447300.0,0.0,1.0
2018-05-17,3.42,3.46,3.39,3.44,3.44,19128600.0,0.0,1.0
2018-05-16,3.42,3.46,3.41,3.42,3.42,17127700.0,0.0,1.0
2018-05-15,3.51,3.51,3.42,3.43,3.43,29502600.0,0.0,1.0
2018-05-14,3.53,3.54,3.49,3.52,3.52,21327400.0,0.0,1.0
2018-05-11,3.55,3.55,3.52,3.55,3.55,15030500.0,0.0,1.0
2018-05-10,3.54,3.58,3.52,3.52,3.52,25537100.0,0.0,1.0
2018-05-09,3.53,3.54,3.51,3.54,3.54,14065700.0,0.0,1.0
2018-05-08,3.5,3.53,3.5,3.52,3.52,15087400.0,0.0,1.0
2018-05-07,3.51,3.51,3.49,3.5,3.5,7979900.0,0.0,1.0
2018-05-04,3.52,3.53,3.49,3.5,3.5,17263925.0,0.0,1.0
2018-05-03,3.48,3.53,3.48,3.52,3.52,13467900.0,0.0,1.0
2018-05-02,3.51,3.54,3.49,3.5,3.5,25753800.0,0.0,1.0
2018-04-30,3.49,3.53,3.48,3.52,3.52,26060100.0,0.0,1.0
2018-04-27,3.49,3.49,3.46,3.49,3.49,19294100.0,0.0,1.0
2018-04-26,3.43,3.45,3.42,3.44,3.44,21709700.0,0.0,1.0
2018-04-25,3.4,3.41,3.38,3.4,3.4,32287300.0,0.0,1.0
2018-04-24,3.42,3.43,3.4,3.43,3.43,9216800.0,0.0,1.0
2018-04-23,3.41,3.43,3.4,3.42,3.42,13395900.0,0.0,1.0
2018-04-20,3.42,3.43,3.4,3.41,3.41,15106200.0,0.0,1.0
2018-04-19,3.41,3.44,3.4,3.43,3.43,23411800.0,0.0,1.0
2018-04-18,3.38,3.42,3.37,3.41,3.41,27281400.0,0.0,1.0
2018-04-17,3.37,3.38,3.35,3.37,3.37,16711700.0,0.0,1.0
2018-04-16,3.37,3.37,3.34,3.36,3.36,10941000.0,0.0,1.0
2018-04-13,3.36,3.37,3.33,3.37,3.37,40016600.0,0.0,1.0
2018-04-12,3.39,3.39,3.34,3.35,3.35,27466200.0,0.0,1.0
2018-04-11,3.39,3.41,3.38,3.4,3.4,20386100.0,0.0,1.0
2018-04-10,3.38,3.4,3.36,3.38,3.38,14837400.0,0.0,1.0
2018-04-09,3.39,3.41,3.39,3.4,3.4,20144200.0,0.0,1.0
2018-04-06,3.38,3.44,3.37,3.42,3.42,28629300.0,0.0,1.0
2018-04-05,3.37,3.4,3.34,3.38,3.38,19467000.0,0.0,1.0
2018-04-04,3.39,3.39,3.33,3.33,3.33,22229100.0,0.0,1.0
2018-04-03,3.37,3.39,3.36,3.38,3.38,15592500.0,0.0,1.0
2018-04-02,3.38,3.41,3.37,3.39,3.39,15700100.0,0.0,1.0
2018-03-29,3.36,3.39,3.35,3.37,3.37,42782200.0,0.0,1.0
2018-03-28,3.37,3.38,3.34,3.34,3.34,27713300.0,0.0,1.0
2018-03-27,3.38,3.39,3.36,3.39,3.39,19218000.0,0.0,1.0
2018-03-26,3.38,3.39,3.34,3.36,3.36,32918100.0,0.0,1.0
2018-03-23,3.45,3.45,3.36,3.39,3.39,91162900.0,0.0,1.0
2018-03-22,3.48,3.49,3.44,3.45,3.45,18968600.0,0.0,1.0
2018-03-21,3.48,3.48,3.46,3.47,3.47,14665400.0,0.0,1.0
2018-03-20,3.47,3.49,3.45,3.48,3.48,18057200.0,0.0,1.0
2018-03-19,3.49,3.5,3.46,3.48,3.48,23891000.0,0.0,1.0
2018-03-16,3.42,3.49,3.42,3.49,3.49,49809300.0,0.0,1.0
2018-03-15,3.4,3.43,3.39,3.42,3.42,20378500.0,0.0,1.0
2018-03-14,3.4,3.41,3.39,3.4,3.4,16013600.0,0.0,1.0
2018-03-13,3.39,3.42,3.38,3.41,3.41,29825000.0,0.0,1.0
2018-03-12,3.37,3.4,3.37,3.39,3.39,19568200.0,0.0,1.0
2018-03-09,3.36,3.38,3.34,3.36,3.36,21620715.0,0.0,1.0
2018-03-08,3.33,3.37,3.32,3.35,3.35,16945800.0,0.0,1.0
2018-03-07,3.33,3.36,3.32,3.33,3.33,18298100.0,0.0,1.0
2018-03-06,3.33,3.35,3.32,3.34,3.34,21674300.0,0.0,1.0
2018-03-05,3.36,3.37,3.3,3.31,3.31,25291300.0,0.0,1.0
2018-03-02,3.37,3.37,3.33,3.35,3.35,17740000.0,0.0,1.0
2018-03-01,3.36,3.37,3.33,3.36,3.36,25629600.0,0.0,1.0
2018-02-28,3.39,3.41,3.37,3.38,3.38,39103000.0,0.0,1.0
2018-02-27,3.42,3.43,3.37,3.37,3.37,31012100.0,0.0,1.0
2018-02-26,3.4,3.43,3.38,3.41,3.41,18609300.0,0.0,1.0
2018-02-23,3.36,3.41,3.35,3.38,3.38,20874500.0,0.0,1.0
